OBJECTID,DATE,Male,Female
1,2020/03/12 14:00:00+00,6,6
2,2020/03/13 14:00:00+00,9,6
3,2020/03/14 14:00:00+00,16,10
4,2020/03/15 14:00:00+00,,
5,2020/03/16 14:00:00+00,21,16
6,2020/03/17 14:00:00+00,,
7,2020/03/18 14:00:00+00,49,36
8,2020/03/19 14:00:00+00,59,48
9,2020/03/20 14:00:00+00,80,69
10,2020/03/21 14:00:00+00,84,106
11,2020/03/22 14:00:00+00,129,116
12,2020/03/23 14:00:00+00,149,140
13,2020/03/24 14:00:00+00,178,171
14,2020/03/25 14:00:00+00,212,211
15,2020/03/26 14:00:00+00,298,282
16,2020/03/27 14:00:00+00,392,382
17,2020/03/28 14:00:00+00,487,505
18,2020/03/29 14:00:00+00,605,634
19,2020/03/30 14:00:00+00,697,716
20,2020/03/31 14:00:00+00,804,856
21,2020/04/01 14:00:00+00,969,1016
22,2020/04/02 14:00:00+00,1137,1194
23,2020/04/03 14:00:00+00,1323,1435
24,2020/04/04 14:00:00+00,1485,1640
25,2020/04/05 14:00:00+00,1694,1915
26,2020/04/06 14:00:00+00,1890,2155
27,2020/04/07 14:00:00+00,2042,2329
28,2020/04/08 14:00:00+00,2574,2955
29,2020/04/09 14:00:00+00,2865,3320
30,2020/04/10 14:00:00+00,3215,3753
31,2020/04/11 14:00:00+00,3554,4140
32,2020/04/12 14:00:00+00,3787,4438
33,2020/04/13 14:00:00+00,4105,4831
34,2020/04/14 14:00:00+00,4340,5132
35,2020/04/15 14:00:00+00,4593,5439
36,2020/04/16 14:00:00+00,4967,5817
37,2020/04/17 14:00:00+00,5323,6249
38,2020/04/18 14:00:00+00,5656,6652
39,2020/04/19 14:00:00+00,5907,6923
40,2020/04/20 14:00:00+00,6310,7374
41,2020/04/21 14:00:00+00,6570,7623
42,2020/04/22 14:00:00+00,6821,7954
43,2020/04/23 14:00:00+00,7290,8447
44,2020/04/24 14:00:00+00,7742,8874
45,2020/04/25 14:00:00+00,8268,9498
46,2020/04/26 14:00:00+00,8618,9963
47,2020/04/27 14:00:00+00,9027,10460
48,2020/04/28 14:00:00+00,9363,10750
49,2020/04/29 14:00:00+00,9719,11130
50,2020/04/30 14:00:00+00,10147,11595
51,2020/05/01 14:00:00+00,10972,12500
52,2020/05/02 14:00:00+00,11468,13005
53,2020/05/03 14:00:00+00,11969,13493
54,2020/05/04 14:00:00+00,12472,13936
55,2020/05/05 14:00:00+00,12801,14316
56,2020/05/06 14:00:00+00,13315,14848
57,2020/05/07 14:00:00+00,13902,15472
58,2020/05/08 14:00:00+00,14447,16038
59,2020/05/09 14:00:00+00,14974,16560
60,2020/05/10 14:00:00+00,15486,17101
61,2020/05/11 14:00:00+00,15868,17505
62,2020/05/12 14:00:00+00,16209,17852
63,2020/05/13 14:00:00+00,16600,18212
64,2020/05/14 14:00:00+00,17123,18780
65,2020/05/15 14:00:00+00,17674,19312
66,2020/05/16 14:00:00+00,18168,19800
67,2020/05/17 14:00:00+00,18593,20211
68,2020/05/18 14:00:00+00,19056,20706
69,2020/05/19 14:00:00+00,19860,21686
70,2020/05/20 14:00:00+00,20225,22098
71,2020/05/21 14:00:00+00,20843,22688
72,2020/05/22 14:00:00+00,21283,23141
73,2020/05/23 14:00:00+00,21818,23677
74,2020/05/24 14:00:00+00,22238,24075
75,2020/05/25 14:00:00+00,22604,24548
76,2020/05/26 14:00:00+00,22871,24816
77,2020/05/27 14:00:00+00,23217,25206
78,2020/05/28 14:00:00+00,23860,25849
79,2020/05/29 14:00:00+00,24461,26527
80,2020/05/30 14:00:00+00,24924,27091
81,2020/05/31 14:00:00+00,25272,27506
82,2020/06/01 14:00:00+00,25522,27805
83,2020/06/02 14:00:00+00,25950,28225
84,2020/06/03 14:00:00+00,26328,28654
85,2020/06/04 14:00:00+00,26762,29096
86,2020/06/05 14:00:00+00,27197,29573
87,2020/06/06 14:00:00+00,27533,29949
88,2020/06/07 14:00:00+00,27758,30215
89,2020/06/08 14:00:00+00,27969,30435
90,2020/06/09 14:00:00+00,28237,30667
91,2020/06/10 14:00:00+00,28502,30963
92,2020/06/11 14:00:00+00,28875,31322
93,2020/06/12 14:00:00+00,29082,31531
94,2020/06/13 14:00:00+00,29435,31870
95,2020/06/14 14:00:00+00,29619,32082
96,2020/06/15 14:00:00+00,29791,32241
